group,Matriline,AnimalID.text,DOB,MaternalID.text,Birth.Season,ExitAge2,First_born,Died,MomAllLossType,High_temperature,High_temperatureLog,Rainfall,RainfallLog,Group_size,Group_sizeLog,Maternal_kin_count,Maternal_kin_countLog,Matriline_rank,CompetingSib,Maternal_loss,Hurricane,female,CumulIndex,Cumulative_early_life_adversity,censored,time,timeYr
M,'073,'B17,29227,'656,1980,1470,N,0,0,0.21540054,0.223947752,-1.442607878,-1.650954916,-1.095970782,-1.035963805,-0.310491852,-0.07270889,H,N,N,0None,F,2.507784878,-1.105168533,1,1471,4.030136986
L,'RB,'A57,28886,'668,1979,4772,Y,0,0,-1.455556067,-1.46323949,3.199945643,2.646202478,-1.095970782,-1.035963805,-0.808541222,-0.795806263,H,N,N,0None,F,2.415938415,-1.215288557,1,4773,13.07671233
I,'091,'D94,29954,'673,1982,2964,N,0,0,-0.841965029,-0.837403211,-0.093436909,0.000385122,-0.030565454,0.245930018,0.187557518,0.440336861,H,N,N,0None,F,2.238608578,-1.42789953,1,2965,8.123287671
L,'RB,'I04,30697,'709,1984,2961,N,0,0,-0.985980662,-0.983627688,-0.096247682,-0.00256193,-0.352197251,-0.037923366,0.685606888,0.838286063,H,N,N,0None,F,2.08524721,-1.611773323,1,2962,8.115068493
L,'RB,'H80,30688,'710,1984,2984,N,0,0,-1.064321421,-1.063340493,-0.178041172,-0.089063147,-0.372299238,-0.057627261,-0.808541222,-0.795806263,H,N,N,0None,F,2.227092947,-1.441706285,1,2985,8.178082192
Q,'091,'K51,31442,'745,1986,2923,N,0,0,-0.141120244,-0.131536553,-0.176073631,-0.086965331,-1.136174757,-1.115330062,0.685606888,0.838286063,H,N,N,0None,F,2.1091732,-1.583087073,1,2924,8.010958904
J,'031,'B35,29249,'7H,1980,1504,N,0,0,0.259496541,0.267749602,-1.204816495,-1.319067968,-0.392401226,-0.077599245,2.677804368,1.886531608,H,N,N,0None,F,2.335554035,-1.311666028,1,1505,4.123287671
F,'065,'L33,31792,'874,1987,1549,N,1,0,0.447608157,0.454199058,1.44321261,1.403010658,0.009638521,0.277842539,-0.808541222,-0.795806263,H,N,N,0None,F,2.376005444,-1.263166499,0,1550,4.246575342
F,'065,'R59,32527,'874,1989,6861,N,1,0,-0.917960262,-0.914513526,-0.013892037,0.08309964,0.170454419,0.39897665,-1.306590592,-2.031949388,H,N,N,Hugo,F,3.403644652,-0.031070558,0,6862,18.8
F,'065,'X17,33267,'874,1991,7662,N,1,0,-0.295456203,-0.286169702,-0.986138367,-1.031543836,1.095145836,0.949904061,-0.310491852,-0.07270889,H,Y,N,0None,F,2.81008394,-0.742724744,0,7663,20.99452055
F,'065,'Z15,33618,'874,1992,6183,N,1,0,-0.110628334,-0.101039462,1.088493076,1.111274968,1.838919367,1.279456348,-0.808541222,-0.795806263,H,N,N,0None,F,2.721906846,-0.84844535,0,6184,16.94246575
I,'091,'H58,30708,'909,1984,2208,N,0,0,-0.939070033,-0.935953054,-0.128290492,-0.036277263,0.713208077,0.746740775,0.685606888,0.838286063,H,N,N,0None,F,2.339668248,-1.30673326,1,2209,6.052054795
F,'065,'0I6,39818,'92D,2009,3266,N,0,0,0.892320926,0.892380126,0.817534573,0.87681601,1.095145836,0.949904061,-0.310491852,-0.07270889,H,N,N,0None,F,2.771542394,-0.788934427,1,3267,8.950684932
I,'091,'F14,29953,'950,1982,2959,Y,0,0,-0.841965029,-0.837403211,-0.05296178,0.042637963,-0.030565454,0.245930018,0.187557518,0.440336861,H,N,N,0None,F,3.231866058,-0.237025826,1,2960,8.109589041
I,'091,'I91,31057,'950,1985,1852,N,0,0,-0.837743078,-0.833122614,0.002410446,0.09989,1.155451798,0.979559983,0.187557518,0.440336861,H,N,N,0None,F,2.489338683,-1.12728474,1,1853,5.076712329
I,'091,'H96,30704,'952,1984,2200,N,0,0,-0.928749707,-0.925470425,-0.133349883,-0.041620837,0.652902115,0.711926855,0.187557518,0.440336861,H,N,N,0None,F,2.379273331,-1.259248442,1,2201,6.030136986
L,'RB,'I18,30705,'955,1984,2953,N,0,1,-0.923589535,-0.920229883,-0.136160656,-0.044591871,-0.311993276,0.00070829,-0.310491852,-0.07270889,H,N,Y,0None,F,3.214663237,-0.25765128,1,2954,8.093150685
